编号	日期	实体／个人名称
1	2018/8/1	中国航天科工集团有限公司第二研究院
2	2018/8/1	中国航天科工集团有限公司第二研究院第二设计总部
3	2018/8/1	中国航天科工集团高限公司第二研究院第23研究所（北京无线电测量研究所）
4	2018/8/1	中国航天科工集团高限公司第二研究院第25研究所（北京遥感设备研究所）
5	2018/8/1	中国航天科工集团有限公司第二研究院第201研究所（航天科技防御技术研究与实验中心）
6	2018/8/1	中国航天科工集团有限公司第二研究院第203研究所（北京无线电计量测试研究所）
7	2018/8/1	中国航天科工集团高限公司第二研究院第204研究所（北京计算机应用与仿真技术研究所）
8	2018/8/1	中国航天科工集团有限公司第二研究院第206研究所（北京机械设备研究所）
9	2018/8/1	中国航天科工集团高限公司第二研究院第207研究所（北京环境特性研究所）
10	2018/8/1	中国航天科工集团高限公司第二研究院第208研究所（北京电子工程总体研究所）
11	2018/8/1	中国航天科工集团高限公司第二研究院第210研究所（西安长峰机电研究所）
12	2018/8/1	中国航天科工集团高限公司第二研究院283厂（北京新辛机械厂）
13	2018/8/1	国航天科工集团苟限公司第二研究院284厂（北京长字机械厂）
14	2018/8/1	中国航天科工集团有限公司第二研究院699厂（北京新力机械）
15	2018/8/1	中国电子科技集团公司第十研究所（CETC 13）
16	2018/8/1	中国电子科技集团公司第十一研究所河北博威集成电路有限公司
17	2018/8/1	中国电子科技集团公司第十一研究所河北英沃泰克电子有限公司
18	2018/8/1	中国电子科技集团公司第十一研究所河北赛诺克电子高限公司
19	2018/8/1	中国电子科技集团公司第十一研究所河北兴业恒通国际需限公司
20	2018/8/1	中国电子科技集团公司第十研究所河北医药保健有限公司
21	2018/8/1	国电子科技集团公司第十研究所河北普兴电子科技股份高限
22	2018/8/1	中国电子科技集团公司第十研究所河北普星电子高限公司
23	2018/8/1	中国电子科技集团公司第十研究所微电子技术发展应用公司
24	2018/8/1	中国电子科技集团公司第十研究所石家庄开发区麦特这微电子技术开发应用公司）
25	2018/8/1	［中国电子科技集团公司第十研究所河北美泰电子科技杳限公司
26	2018/8/1	中国电子科技集团公司第十一研究所华北集成电路有限公司
27	2018/8/1	中国电子科技集团公司第十一研究所同辉电子科技高限公司
28	2018/8/1	中国电子科技集团公司第十四研究所（CETC 14）
29	2018/8/1	中国电子科技集团公司第十四研究所南京一思实业公司
